[2026-03-05 08:47:06] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-05 08:47:06] info: 	z2m: Starting Zigbee2MQTT version 2.9.1 (commit #unknown)
[2026-03-05 08:47:06] info: 	z2m: Starting zigbee-herdsman (9.0.9)
[2026-03-05 08:47:06] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/serial/by-id/usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_607da75b0b22f01185b7648fb887153e-if00-port0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-03-05 08:47:06] info: 	zh:zstack:znp: Serialport opened
[2026-03-05 08:47:06] info: 	z2m: zigbee-herdsman started (resumed)
[2026-03-05 08:47:06] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"ZStack3x0"}'
[2026-03-05 08:47:06] info: 	z2m: tristan_door (0x00158d008c7c3f97): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: hallway_motion (0xa4c138bb16ffdaad): ZG-204ZV - HOBEIAN Millimeter wave motion detection (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: Front Water Valve (0xc4d8c8fffe49bdd2): SWV - SONOFF Zigbee smart water valve (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: bathroom_door (0xa4c1385451a39d3c): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: laundry_vibration (0xa4c1383a6aaf3761): ZG-102ZM - HOBEIAN Vibration sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: living_climate (0xa4c138303ad6ffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: bathroom_climate (0xa4c138303ad2ffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: tristan_plug (0x180df9fffe0e58ec): E22x4 - IKEA TRETAKT smart plug (Router)
[2026-03-05 08:47:06] info: 	z2m: living_plug (0x20a716fffea47f07): E22x4 - IKEA TRETAKT smart plug (Router)
[2026-03-05 08:47:06] info: 	z2m: dining_plug (0x20a716fffe4c3eb8): E22x4 - IKEA TRETAKT smart plug (Router)
[2026-03-05 08:47:06] info: 	z2m: laundry_plug (0xc09b9efffe0be1d2): E22x4 - IKEA TRETAKT smart plug (Router)
[2026-03-05 08:47:06] info: 	z2m: laundry_light (0xbc8d7efffec29a5d): LED2035G10 - IKEA TRADFRI bulb B22, white spectrum, globe, opal, 1055 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: backyard_light (0xbc8d7efffeaee2b6): LED2035G10 - IKEA TRADFRI bulb B22, white spectrum, globe, opal, 1055 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: living_orb (0x94a081fffe6ce7a7): LED2101G4 - IKEA TRADFRI bulb E12/E14, white spectrum, globe, opal, 450/470 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: dining_climate (0xa4c1383041abffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: zephyr_climate (0xa4c138304083ffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: tristan_climate (0xa4c138304f17ffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: backyard_door (0xa4c13891c62f96d2): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: laundry_door (0xa4c138c47cdb6de3): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: zephyr_door (0xa4c138d5e2e5849b): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: juno_bedroom_door (0xa4c1384b7c526cf2): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: juno_climate (0xa4c138303786ffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: bathroom_occupancy (0xa4c138fbf5eab5f5): ZG-204ZL - Tuya Luminance motion sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_boston_fern (0xa4c1389bcbee127d): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: tristan_window (0xa4c1383507302be1): ZG-102ZA - HOBEIAN Door/window sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_syngonium_green (0xa4c1380acab499de): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_fiddle_leaf (0xa4c13858c92671d0): ZS-304Z - Arteco Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: dining_switch (0x1035970000831bfe): E2489 - IKEA BILRESA remote control with buttons (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: backyard_switch (0x103597000083874d): E2489 - IKEA BILRESA remote control with buttons (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: living_switch (0x10359700008c7675): E2490 - IKEA BILRESA remote control with scroll wheel (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: tristan_right_bedside (0x001788010d9383a1): 929002471601 - Philips Hue white and color ambiance E26/E27 1600lm (Router)
[2026-03-05 08:47:06] info: 	z2m: hallway_pendant (0x0017880109082084): 8718699688820 - Philips Hue Filament Standard A60/E27 bluetooth (Router)
[2026-03-05 08:47:06] info: 	z2m: hue_filament_1 (0x0017880108ec681b): 8718699688820 - Philips Hue Filament Standard A60/E27 bluetooth (Router)
[2026-03-05 08:47:06] info: 	z2m: dining_room_floor_lamp (0xc02cedfffe9b54d6): LED2035G10 - IKEA TRADFRI bulb B22, white spectrum, globe, opal, 1055 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: tristan_left_bedside (0x0017880103524a4e): 8718696548738 - Philips Hue white ambiance E26/E27 (Router)
[2026-03-05 08:47:06] info: 	z2m: living_occupancy (0x8c73dafffe6a102c): SNZB-06P - SONOFF Zigbee occupancy sensor (Router)
[2026-03-05 08:47:06] info: 	z2m: juno_room (0x58263afffe562e1a): LED2101G4 - IKEA TRADFRI bulb E12/E14, white spectrum, globe, opal, 450/470 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: zephyr_bedroom (0x58263afffe625549): LED2111G6 - IKEA TRADFRI bulb E12/E14/E17, color/white spectrum, globe, opal, 800/806/810 lm (Router)
[2026-03-05 08:47:06] info: 	z2m: hallway_switch (0x001788010e2ac178): 929002398602 - Philips Hue dimmer switch (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: laundry_climate (0xa4c1381258bfffff): TS0201 - Tuya Temperature & humidity sensor with display (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_kentia_palm (0xa4c138232bcccdb5): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_snake (0xa4c138845611b90d): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: plant_elephant (0xa4c138c028882f7d): CS-201Z - COOLO Soil moisture sensor (EndDevice)
[2026-03-05 08:47:06] info: 	z2m: tristan_desk_colour (0x001788010d3ff408): 8719514491229 - Philips Hue White and Color Ambiance E14 (Router)
[2026-03-05 08:47:06] info: 	z2m: Currently 44 devices are joined.
[2026-03-05 08:47:06] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2026-03-05 08:47:06] info: 	z2m: Connected to MQTT server
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/tristan_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/hallway_motion/availability', payload '{"state":"online"}'
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Front Water Valve/availability', payload '{"state":"online"}'
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bathroom_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/laundry_vibration/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/living_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bathroom_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/tristan_plug/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/living_plug/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/dining_plug/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/laundry_plug/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/laundry_light/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/backyard_light/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/living_orb/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/dining_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/zephyr_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/tristan_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/backyard_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/laundry_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/zephyr_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/juno_bedroom_door/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/juno_climate/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bathroom_occupancy/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/plant_boston_fern/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/tristan_window/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/plant_syngonium_green/availability', payload '{"state":"online"}'
[2026-03-05 08:47:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/plant_fiddle_leaf/availability', payload '{"state":"online"}'
